,from_id,text
0,-45186843,"""Метрополитен мог бы удешевить стоимость, потому что многие маршруты сократились, благодаря БКЛ. ""

Ну как бы это слегка бред какой-то. - Как бкл повлияет на стройку линии до Троицка? Никак. А если это про перепробег по городу, то поездам абсолютно всё равно сколько народу везти в составе - 1го человека или 300. Там же просто график движения на линиях, бкл просто ещё добавилось. И остальные линии  из-за этого не стали ходить сильно реже, чтоб это сильно снизило потребление электричества(зато снова, бкл добавилось).
...
А цену они могли бы не поднимать, если б меньше воровали на распило(благо)устройстве. ...О которым вы, кстати,  пишете в очень приглаженном виде, но под видом типа критики(ЦА понятно какая..😙😙😙). Кстати, вы же тоже берете деньги у мэрии, чтоб ""корректно протестовать"" по тем же Сокольникам и Коломенскому?🤔 - Привлекая за это в качестве ""экспертов"" послушных власти проходимцев из Онф без всякого экообразования - под видом ""экологов""? (Вместо того, чтобы спрашивать про это экологов реальных..?)
...

А вообще все расчеты цен начинаются с прозрачного аудита. Кто-то его требует? Нет. Ну тогда грош цена таким экспертам. (Да кстати и не только им. Ни один депутат МГД не требует ничего такого, кажется.)

И пока так, мэрия сможет крутить тарифы как ей нравится, под любыми, самыми экзотическими предлогами(ну вот климат например меняется, опять же, - почему бы не поднять тарифы..😙😙😙). И  проверить реальную обоснованность этого роста тарифов москвичи из-за этого всё равно не смогут."
0,183933233,"Дорого 130 р., за 100 мл.. Нигде не написано, что с кокосовым. Коров всех извели? 
Еще бы урны установили, стаканчики будут валяться по всем станциям и на путях, и на рельсах."
0,183933233,Жаль детей.
0,101705512,Какая дурь. Кофе то причём?
0,484178458,а вейпы - реклпама на каждой остановке и продажа
0,268470774,Напишите  пожалуйста цену и размер штаников. И как заказать. Спасибо.
0,32649972,"И мне напишите цену штанов, майки"
0,508618749,"Здравствуйте! Какая цена комплекта, штанов и футболки? И максимальный размер? Спасибо!"
0,622920582,🔥
0,63592116,Можно заказать эту кофточку?
0,277866721,"Здравствуйте. Подскажите, пожалуйста, стоимость."
0,580407927,"Добрый вечер, цена?"
0,102386814,😱
0,584147519,Здравствуйте!Цена?
0,1840387,"Как можно пройти аттестацию маломерного судна (ТО), если запись на гос услугах на май в Москве отсутствует? Где государственные слипы? Откуда такие налоги на маломерные суда? На каком основании ввели ОБЯЗАТЕЛЬНОЕ наличие МОРСКОЙ системы распознования AIS в Москве? На чем основаны космические штрафы для маломерных судов?  Почему нет заправок на воде?"
0,495709584,👍😳
0,18548232,У Александра Кажурова образ настоящего моряка)
0,658803279,А кто как покакал и пописал? Не освещаете?
0,506539466,Недовольны Что оставили Любимову. Пустое место. ПТУшница. Завалила всю культуру.
0,830432592,💔
0,813806446,Кря-кря!
0,-49673019,А вот и ответы на нашу нейрозагадку!
0,710282857,"А 3 ещё, в принципе, может быть и Сокол :)"
0,813803006,"1. Цветной бульвар 
2. Театральная 
3. Сокольники 4. Римская 
5. Академическая ??? 6. Китай город 
7. Воробьёвы горы 8. Ботанический сад 9. Библиотека им. Ленина"
0,710282857,"1. Цветной бульвар 
2. Театральная 
3. Сокольники :)
4. Римская 
5. Пушкинская (возможно) 
6. Китай город 
7. Воробьёвы горы 
8. Ботаническая ? 
9. Библиотека им. Ленина 
ИМХО"
0,813836868,"Цветной бул., Театральная, Сокол, Римская, Пушкинская, Китай-город, Воробьевы горы, Ботанический сад и Библиотека! Всё!!!"
0,567786641,"1. Цветной Бульвар.
2. Театральная.
3. Сокол
4. Римская
5. Пушкинская
6. Китай Город
7. Нагорная 
8. Ботанический Сад
9. Библиотека им. Ленина 

Я родился в Москве и всю жизнь живу тут. Стыдно будет, если я не угадал.😊
Надеюсь, правильно всё😊"
0,567786641,Красота какая👍
0,398810756,"Вся Россия в антикварных лавках и нелегально торгуют, а тут 120 т руб.... Как символы и образа можно оценить и вообще основание для вывоза есть и почему это происходит?"
0,380535245,"А что все из России то ,что свои  иконы не помогают?наши нашим народом намолены ,заберёшь у ме иконы ,я прокляну ,до 7колена !!"
0,76446677,"Штука баксов… мдааа.. страна спит спокойно теперь, злостный нарушитель пойман😂"
0,15878253,Ненадо таким размножаться. Естественный отбор.
0,185366122,Естественный отбор...
0,6640559,Премия Дарвина
0,608865589,Теперь без пиписки остался 😕
0,92321681,Зато такой идиот размножаться не будет 🤨
0,671782263,Это всё 🙈🙈🙈🙈🙈🙈
0,9831565,Затянулась псих-весна🤦
0,281405923,Называется - получил на х..й в пи..ду
0,8906765,Вот до чего доводит слабоумие и желание попонтоваться 🫤.
0,218043959,"У государства свои интересы, у народа свои.

Такие объявления считаются не законными (почему?), и противоречащими интересам государства(у государства свои интересы) и общества(свои интересы)."
0,452583952,А если у меня объекты такие где заказчики допускают только славян?
0,644864026,"Как в Америке с неграми......куда идём,товарищи??????"
0,571218140,Тогда пусть суд и нанимает к себе лиц НЕславянской внешности
0,164098588,"Проблема не в национальности, а в поведении и знаниях. Приходишь в кабинет ко врачу, а там восточная красавица двух слов по русски связать не может. А мама лежала а больнице, врач узбек, но все понимал и сам прекрасно говорил и спец хороший. Дело не в национальности, а в отношении и стремлении. Хочешь жить в стране, учи язык."
0,38979669,"При этом если ты возьмешь на работу не славян, тебя замучают проверками , штрафами и тд."
0,218897370,"Ну прикольно черному прийти на собеседование и там ему - пшел вон ты не подходишь 🤣🤣🤣 
Пускай катаются на собеседования - так даже веселее !"
0,141017711,А смысл?! Порой контакты работодателя платные. Те заплатить и узнать что только славян рассматривают?🤣🔥идея огонь. 🤣
0,14331912,"такого кота, которого волки не трогают, страшно дома держать😂"
0,279998229,"Волки молодцы!!! Не тронули кота!!! 
 Реально многие животные добрее чем многие люди!"
0,571218140,И эти специалисты своими трихомонадными руками работают с продуктами питания😱
0,350612022,"Если мигрант не оплатил патент и не покинул Россию, автоматически должен быть объявлен в розыск. Их прибывание в стране должны быть прозрачны. Работодателей оштрафовать на большие суммы. А лучше лишить лицензии . Бардак , порождает Бардак."
0,42454533,Это было месяц назад 🤣🤣🤣
0,251881918,"Эти люди будут ходить по улицам , но только не ходить на учебу"
0,28680356,А знаете откуда корь в России??? 😏
0,76446677,"Уже несмешно.. 
зае…али!"
0,11608318,Опять моразм включили🤦‍♀️
0,753551595,А если купить просто в кассе МЕТРО? Цена?🤔
0,591109921,Смотрится как фильм ужасов.Всё пылает и ребёнок на качелях поёт:Если ты уснёшь то Фредди придёт за тобой...
0,162283610,"Человек на качелях:
мне этот мир абсолютно понятен, и я здесь ищу только одного - покоя, умиротворения..."
0,374789342,🙉🙉🙉🙉
0,15671649,"Завидую человеку на качелях, нервы как канаты. 
Но демоны точно теперь изгнаны"
0,204064169,Демоны изгнаны! Качельки свободны..........
0,3420935,Пацана еще не откомментировали 😂
0,232295209,Ну а соседи тут причём ???
0,144838107,"Ну-ну, ну-ну 😏, очередные обещалки, как с шашочниками, будем наказывать за опасную езду, специальные экипажы будут фиксировать и отлавливать негодяев и что?, как обычно пшик..."
0,85879259,"Да у них номеров нет, как их считывать?"
0,218043959,"Дак это хач, решил встать на месте и жертвовал случайными проезжими"
0,19869646,Сейчас лучше пройти мимо и ничего не подбирать
0,17816954,"В таком случае нужно подтвердить сумму, которая там была. Он мог и миллион долларов сказать."
0,17816954,Это что за размер у кошелька такой? Что туда и документы и почти пол лома влезло)
0,226165423,К сожалению теперь мы не чего не можем найти 😅
0,9236575,"Так это не кража, а находка😁"
